GEO,AAR,ALDER,ANTALL,KJONN
1566,2021,81,18,2
1566,2021,37,9,1
1566,2021,42,12,1
1566,2021,45,11,1
1566,2021,52,16,2
1566,2021,58,22,2
1566,2021,68,19,2
1566,2021,70,15,1
1566,2021,85,10,1
1566,2021,26,23,2
1566,2021,33,16,1
1566,2021,35,10,1
1566,2021,39,7,2
1566,2021,44,9,2
1566,2021,49,12,2
1566,2021,56,10,1
1566,2021,78,15,1
1566,2021,82,21,1
1566,2021,84,13,2
1566,2021,93,8,1
1566,2021,57,13,1
1566,2021,31,13,1
1566,2021,22,6,2
1566,2021,28,15,2
1566,2021,34,12,2
1566,2021,38,10,2
1566,2021,46,10,1
1566,2021,47,15,2
1566,2021,48,8,1
1566,2021,60,23,1
1566,2021,69,20,1
1566,2021,74,17,1
1566,2021,76,12,2
1566,2021,89,9,1
1566,2021,92,6,2
1566,2021,95,6,2
1566,2021,36,8,1
1566,2021,40,9,1
1566,2021,19,6,2
1566,2021,43,9,2
1566,2021,59,12,1
1576,2021,29,6,1
1576,2021,43,8,1
1576,2021,48,9,2
1576,2021,49,11,2
1576,2021,58,11,2
1576,2021,59,12,1
1576,2021,69,10,1
1576,2021,73,10,1
1576,2021,76,15,2
1576,2021,82,10,2
1576,2021,84,9,1
1576,2021,21,7,2
1576,2021,25,6,1
1576,2021,27,13,1
1576,2021,30,7,1
1576,2021,36,9,2
1576,2021,39,11,2
1576,2021,46,7,2
1576,2021,51,10,2
1576,2021,53,10,1
1576,2021,57,17,2
1576,2021,62,11,1
1576,2021,63,12,1
1576,2021,65,8,2
1576,2021,75,14,1
1576,2021,79,8,2
1576,2021,88,7,2
1576,2021,24,6,1
1576,2021,32,7,1
1576,2021,35,7,2
1576,2021,50,11,2
1576,2021,54,11,1
1576,2021,67,11,1
1576,2021,70,12,2
1576,2021,71,14,2
1576,2021,72,12,2
1576,2021,83,6,1
1576,2021,86,9,2
1576,2021,89,6,1
1576,2021,22,7,2
1576,2021,40,8,2
1576,2021,55,12,1
1576,2021,66,14,2
1576,2021,74,9,1
1576,2021,78,10,2
1576,2021,90,10,1
1576,2021,34,8,1
1576,2021,52,11,2
1576,2021,64,11,2
1576,2021,85,7,2
1576,2021,77,7,2
1576,2021,56,6,1
1576,2021,68,11,1
1576,2021,37,6,1
1576,2021,60,14,1
1576,2021,61,10,1
1576,2021,81,7,2
1576,2021,87,7,2
1576,2021,93,6,2
1822,2021,24,7,2
1822,2021,39,8,1
1822,2021,49,6,2
1822,2021,53,9,2
1822,2021,60,7,2
1822,2021,65,11,2
1822,2021,67,9,1
1822,2021,71,11,1
1822,2021,72,11,2
1822,2021,73,11,1
1822,2021,76,10,2
1822,2021,79,10,1
1822,2021,52,8,1
1822,2021,62,7,1
1822,2021,47,7,1
1822,2021,56,9,1
1822,2021,75,8,1
1822,2021,90,7,2
1822,2021,31,6,1
1822,2021,46,6,2
1822,2021,81,7,2
1822,2021,87,7,1
1822,2021,88,7,2
1822,2021,58,6,1
1822,2021,43,7,1
1822,2021,69,10,1
1832,2021,41,7,1
1832,2021,75,13,1
1832,2021,82,15,1
1832,2021,21,11,1
1832,2021,22,11,2
1832,2021,23,8,2
1832,2021,24,12,2
1832,2021,25,14,2
1832,2021,28,11,2
1832,2021,29,13,2
1832,2021,30,11,2
1832,2021,31,8,1
1832,2021,32,8,1
1832,2021,33,7,1
1832,2021,34,6,1
1832,2021,35,8,2
1832,2021,38,8,2
1832,2021,40,8,1
1832,2021,43,6,2
1832,2021,44,9,2
1832,2021,45,12,1
1832,2021,46,8,2
1832,2021,47,11,2
1832,2021,48,10,2
1832,2021,49,9,2
1832,2021,50,10,1
1832,2021,52,12,2
1832,2021,54,12,1
1832,2021,55,12,2
1832,2021,56,21,2
1832,2021,60,14,1
1832,2021,61,19,2
1832,2021,62,16,1
1832,2021,63,17,1
1832,2021,64,13,1
1832,2021,65,21,1
1832,2021,66,7,1
1832,2021,68,12,2
1832,2021,69,22,2
1832,2021,70,17,2
1832,2021,71,16,2
1832,2021,72,11,1
1832,2021,74,21,1
1832,2021,81,14,1
1832,2021,83,13,2
1832,2021,84,14,2
1832,2021,85,7,2
1832,2021,86,9,2
1832,2021,87,12,1
1832,2021,90,9,1
1832,2021,91,7,1
1832,2021,26,10,1
1832,2021,36,6,2
1832,2021,51,12,1
1832,2021,53,10,2
1832,2021,57,15,1
1832,2021,58,12,2
1832,2021,59,11,1
1832,2021,67,17,1
1832,2021,73,12,1
1832,2021,76,17,2
1832,2021,77,17,2
1832,2021,78,20,1
1832,2021,79,7,2
1832,2021,80,13,1
1832,2021,89,15,2
1832,2021,42,9,2
3431,2021,61,19,1
3431,2021,22,7,1
3431,2021,25,7,2
3431,2021,49,6,1
3431,2021,50,7,1
3431,2021,54,11,1
3431,2021,59,11,1
3431,2021,62,10,1
3431,2021,63,12,1
3431,2021,64,8,2
3431,2021,65,16,2
3431,2021,76,8,2
3431,2021,78,12,2
3431,2021,81,6,1
3431,2021,82,6,1
3431,2021,58,7,2
3431,2021,68,11,2
3431,2021,70,14,2
3431,2021,73,13,1
3431,2021,80,12,2
3431,2021,84,10,1
3431,2021,57,9,1
3431,2021,66,11,1
3431,2021,69,13,2
3431,2021,74,17,2
3431,2021,86,10,1
3431,2021,42,8,2
3431,2021,55,9,2
3431,2021,60,11,1
3431,2021,75,7,2
3431,2021,23,7,2
3431,2021,34,6,1
3431,2021,38,7,2
3431,2021,71,9,2
3431,2021,72,11,1
3431,2021,77,13,2
3431,2021,79,6,2
3431,2021,87,6,2
3431,2021,30,6,1
3431,2021,52,6,1
3431,2021,67,8,1
3431,2021,91,6,1
3454,2021,28,7,2
3454,2021,51,9,1
3454,2021,55,6,1
3454,2021,56,6,1
3454,2021,57,10,1
3454,2021,63,6,2
3454,2021,72,8,1
3454,2021,73,8,2
3454,2021,49,7,2
3454,2021,66,7,1
3454,2021,78,6,2
3454,2021,81,6,2
3454,2021,48,6,2
3454,2021,19,6,1
3803,2021,23,184,2
3803,2021,26,235,2
3803,2021,27,275,1
3803,2021,29,229,2
3803,2021,30,233,1
3803,2021,32,211,1
3803,2021,36,156,2
3803,2021,37,126,2
3803,2021,38,150,2
3803,2021,39,157,2
3803,2021,41,138,2
3803,2021,42,135,2
3803,2021,43,132,1
3803,2021,45,123,2
3803,2021,47,113,2
3803,2021,48,140,2
3803,2021,50,160,2
3803,2021,54,171,1
3803,2021,58,215,2
3803,2021,59,190,2
3803,2021,64,171,2
3803,2021,65,171,1
3803,2021,66,160,2
3803,2021,78,117,2
3803,2021,28,273,2
3803,2021,33,147,1
3803,2021,35,166,1
3803,2021,51,156,2
3803,2021,52,159,1
3803,2021,53,170,1
3803,2021,55,208,2
3803,2021,57,173,2
3803,2021,61,181,1
3803,2021,62,152,2
3803,2021,69,144,2
3803,2021,71,160,1
3803,2021,73,167,2
3803,2021,75,172,2
3803,2021,81,114,2
3803,2021,82,118,2
3803,2021,19,64,1
3803,2021,20,91,1
3803,2021,21,126,1
3803,2021,22,169,1
3803,2021,24,217,2
3803,2021,31,207,2
3803,2021,34,164,2
3803,2021,40,142,1
3803,2021,44,136,2
3803,2021,46,137,2
3803,2021,49,153,2
3803,2021,56,193,1
3803,2021,60,180,1
3803,2021,63,162,1
3803,2021,67,172,1
3803,2021,68,163,2
3803,2021,70,153,1
3803,2021,72,178,1
3803,2021,74,171,1
3803,2021,76,142,1
3803,2021,77,123,1
3803,2021,80,123,2
3803,2021,84,97,1
3803,2021,85,85,2
3803,2021,86,85,1
3803,2021,87,72,1
3803,2021,88,94,2
3803,2021,89,66,1
3803,2021,90,76,2
3803,2021,91,64,1
3803,2021,92,39,2
3803,2021,94,29,1
3803,2021,95,23,2
3803,2021,83,113,2
3803,2021,93,23,1
3803,2021,25,230,2
3803,2021,79,102,2
3803,2021,18,37,1
3803,2021,17,6,1
3803,2021,96,14,2
3803,2021,97,13,2
3803,2021,99,10,2
3822,2021,27,7,2
3822,2021,50,6,2
3822,2021,63,10,2
3822,2021,72,7,1
3822,2021,30,6,2
3822,2021,51,7,2
3822,2021,53,9,2
3822,2021,65,6,2
3822,2021,69,6,2
3822,2021,76,6,2
3822,2021,83,7,1
3822,2021,68,7,1
3822,2021,59,6,1
3822,2021,71,7,2
3825,2021,24,17,1
3825,2021,32,10,2
3825,2021,34,8,2
3825,2021,40,7,1
3825,2021,46,7,1
3825,2021,48,9,2
3825,2021,54,16,1
3825,2021,56,13,2
3825,2021,65,13,1
3825,2021,67,14,1
3825,2021,21,10,2
3825,2021,22,10,2
3825,2021,23,9,2
3825,2021,25,9,2
3825,2021,26,11,1
3825,2021,27,16,1
3825,2021,29,8,1
3825,2021,30,14,1
3825,2021,31,9,1
3825,2021,33,11,1
3825,2021,35,6,1
3825,2021,37,8,2
3825,2021,38,8,1
3825,2021,39,11,1
3825,2021,41,6,2
3825,2021,47,9,2
3825,2021,49,7,1
3825,2021,50,16,1
3825,2021,52,10,2
3825,2021,53,11,1
3825,2021,55,12,2
3825,2021,57,10,1
3825,2021,58,13,1
3825,2021,59,9,2
3825,2021,60,13,2
3825,2021,61,13,2
3825,2021,62,12,1
3825,2021,63,14,1
3825,2021,64,9,2
3825,2021,66,17,1
3825,2021,68,13,1
3825,2021,69,6,2
3825,2021,70,11,1
3825,2021,71,11,2
3825,2021,72,13,1
3825,2021,73,13,2
3825,2021,74,19,1
3825,2021,75,17,2
3825,2021,76,12,1
3825,2021,78,14,2
3825,2021,79,12,1
3825,2021,80,9,2
3825,2021,81,6,2
3825,2021,82,6,2
3825,2021,83,8,1
3825,2021,84,10,2
3825,2021,85,14,2
3825,2021,86,6,2
3825,2021,87,9,2
3825,2021,88,8,1
3825,2021,77,9,1
3825,2021,51,6,1
3825,2021,43,12,2
3825,2021,28,10,1
4202,2021,20,75,1
4202,2021,23,132,2
4202,2021,25,134,1
4202,2021,27,125,2
4202,2021,29,107,2
4202,2021,31,80,2
4202,2021,34,62,2
4202,2021,37,44,1
4202,2021,38,43,2
4202,2021,39,50,2
4202,2021,42,38,1
4202,2021,47,55,1
4202,2021,48,48,2
4202,2021,49,49,2
4202,2021,55,68,1
4202,2021,56,57,1
4202,2021,58,50,1
4202,2021,60,58,1
4202,2021,61,57,1
4202,2021,63,62,1
4202,2021,67,52,2
4202,2021,69,43,2
4202,2021,75,75,2
4202,2021,76,53,2
4202,2021,79,26,2
4202,2021,82,43,2
4202,2021,89,21,1
4202,2021,17,8,1
4202,2021,21,84,1
4202,2021,26,131,1
4202,2021,28,101,1
4202,2021,30,81,2
4202,2021,35,56,1
4202,2021,44,42,1
4202,2021,59,48,1
4202,2021,62,71,2
4202,2021,66,50,1
4202,2021,72,55,1
4202,2021,80,51,1
4202,2021,22,108,1
4202,2021,32,75,1
4202,2021,51,48,1
4202,2021,64,57,1
4202,2021,65,52,1
4202,2021,74,46,1
4202,2021,78,46,1
4202,2021,86,37,2
4202,2021,90,21,2
4202,2021,94,10,2
4202,2021,84,41,1
4202,2021,33,51,1
4202,2021,41,36,2
4202,2021,43,46,1
4202,2021,45,55,2
4202,2021,46,41,1
4202,2021,50,60,1
4202,2021,52,50,2
4202,2021,53,58,2
4202,2021,54,51,2
4202,2021,57,57,2
4202,2021,71,57,1
4202,2021,81,38,1
4202,2021,19,38,1
4202,2021,24,111,1
4202,2021,40,48,2
4202,2021,68,53,2
4202,2021,70,45,2
4202,2021,87,31,1
4202,2021,88,20,1
4202,2021,36,41,1
4202,2021,73,66,1
4202,2021,77,52,2
4202,2021,83,29,2
4202,2021,85,28,2
4202,2021,18,16,1
4202,2021,91,20,2
4202,2021,92,12,2
4202,2021,93,14,2
4202,2021,95,9,2
4225,2021,24,34,2
4225,2021,25,31,2
4225,2021,28,30,2
4225,2021,34,14,2
4225,2021,37,26,1
4225,2021,41,19,2
4225,2021,45,10,1
4225,2021,47,18,1
4225,2021,61,17,2
4225,2021,62,24,1
4225,2021,66,32,2
4225,2021,69,24,1
4225,2021,75,21,1
4225,2021,76,23,2
4225,2021,88,12,2
4225,2021,91,8,1
4225,2021,18,10,1
4225,2021,21,26,2
4225,2021,23,25,1
4225,2021,26,34,2
4225,2021,27,39,2
4225,2021,29,25,1
4225,2021,35,29,2
4225,2021,36,19,1
4225,2021,42,16,2
4225,2021,44,22,1
4225,2021,46,15,1
4225,2021,50,25,1
4225,2021,54,22,1
4225,2021,56,23,2
4225,2021,57,23,2
4225,2021,59,30,1
4225,2021,60,23,2
4225,2021,71,21,1
4225,2021,72,23,1
4225,2021,73,25,1
4225,2021,74,26,1
4225,2021,77,21,1
4225,2021,79,19,1
4225,2021,83,26,2
4225,2021,85,15,2
4225,2021,20,20,2
4225,2021,49,15,2
4225,2021,52,18,1
4225,2021,53,22,2
4225,2021,55,25,1
4225,2021,64,22,2
4225,2021,84,22,2
4225,2021,89,11,1
4225,2021,33,17,2
4225,2021,65,24,1
4225,2021,19,9,2
4225,2021,22,20,1
4225,2021,30,25,1
4225,2021,31,21,2
4225,2021,32,17,1
4225,2021,38,18,1
4225,2021,39,22,2
4225,2021,40,13,1
4225,2021,43,10,1
4225,2021,48,20,1
4225,2021,51,31,1
4225,2021,63,26,1
4225,2021,67,30,2
4225,2021,68,15,2
4225,2021,70,20,1
4225,2021,78,23,1
4225,2021,80,13,1
4225,2021,81,20,1
4225,2021,82,22,1
4225,2021,87,10,1
4225,2021,90,12,2
4225,2021,92,6,2
4225,2021,86,11,1
4225,2021,58,19,2
4643,2021,21,7,1
4643,2021,22,7,1
4643,2021,23,18,1
4643,2021,25,16,2
4643,2021,26,18,1
4643,2021,27,11,2
4643,2021,28,18,2
4643,2021,29,18,1
4643,2021,30,11,1
4643,2021,31,14,1
4643,2021,32,9,1
4643,2021,34,8,1
4643,2021,38,15,2
4643,2021,39,11,2
4643,2021,40,23,1
4643,2021,41,11,1
4643,2021,42,11,2
4643,2021,43,9,2
4643,2021,44,11,1
4643,2021,45,7,2
4643,2021,48,15,1
4643,2021,49,14,1
4643,2021,50,16,2
4643,2021,51,14,2
4643,2021,52,10,1
4643,2021,53,14,1
4643,2021,55,15,2
4643,2021,56,17,1
4643,2021,57,19,2
4643,2021,59,24,2
4643,2021,60,12,2
4643,2021,61,24,1
4643,2021,62,19,1
4643,2021,63,15,2
4643,2021,64,21,2
4643,2021,65,17,1
4643,2021,66,22,1
4643,2021,68,15,1
4643,2021,69,12,2
4643,2021,70,17,2
4643,2021,72,16,2
4643,2021,73,13,1
4643,2021,75,17,2
4643,2021,76,17,1
4643,2021,77,15,2
4643,2021,79,16,1
4643,2021,80,14,1
4643,2021,81,12,1
4643,2021,82,10,2
4643,2021,83,19,2
4643,2021,85,12,1
4643,2021,86,12,1
4643,2021,87,22,2
4643,2021,88,18,2
4643,2021,89,17,2
4643,2021,24,23,1
4643,2021,33,17,2
4643,2021,36,13,2
4643,2021,46,12,2
4643,2021,54,19,2
4643,2021,58,13,1
4643,2021,67,13,1
4643,2021,71,14,2
4643,2021,74,18,2
4643,2021,78,16,1
4643,2021,84,15,1
4643,2021,90,14,1
4643,2021,91,12,2
4643,2021,93,9,1
4643,2021,35,9,1
4643,2021,37,14,1
4643,2021,47,7,1
4643,2021,92,7,2
4643,2021,95,6,1
5054,2021,18,9,1
5054,2021,23,24,1
5054,2021,37,18,1
5054,2021,43,17,2
5054,2021,45,26,1
5054,2021,49,26,2
5054,2021,61,30,1
5054,2021,62,26,1
5054,2021,63,26,2
5054,2021,64,31,2
5054,2021,66,39,2
5054,2021,67,30,2
5054,2021,71,21,1
5054,2021,72,37,1
5054,2021,73,33,2
5054,2021,74,38,1
5054,2021,78,26,2
5054,2021,81,30,1
5054,2021,82,17,2
5054,2021,83,34,2
5054,2021,84,21,1
5054,2021,85,21,1
5054,2021,20,14,2
5054,2021,24,24,1
5054,2021,29,18,2
5054,2021,44,16,1
5054,2021,50,25,2
5054,2021,55,27,1
5054,2021,60,21,2
5054,2021,69,25,1
5054,2021,75,38,1
5054,2021,77,28,2
5054,2021,80,30,1
5054,2021,86,24,2
5054,2021,92,8,2
5054,2021,27,21,2
5054,2021,32,17,2
5054,2021,38,13,1
5054,2021,65,35,2
5054,2021,68,28,2
5054,2021,70,30,2
5054,2021,89,13,2
5054,2021,90,15,1
5054,2021,91,14,1
5054,2021,22,19,2
5054,2021,34,18,1
5054,2021,46,21,2
5054,2021,51,23,1
5054,2021,52,21,2
5054,2021,53,22,1
5054,2021,59,27,2
5054,2021,76,30,2
5054,2021,79,28,2
5054,2021,88,13,1
5054,2021,93,12,2
5054,2021,42,19,2
5054,2021,47,20,1
5054,2021,54,27,2
5054,2021,56,23,2
5054,2021,57,25,2
5054,2021,58,24,1
5054,2021,25,24,2
5054,2021,41,12,1
5054,2021,28,28,1
5054,2021,33,17,2
5054,2021,39,18,1
5054,2021,40,18,2
5054,2021,48,18,1
5054,2021,26,19,2
5054,2021,30,16,2
5054,2021,31,23,2
5054,2021,36,16,2
5054,2021,35,12,1
5054,2021,21,11,2
5054,2021,87,18,1
5054,2021,94,10,2
5054,2021,96,7,1
5061,2021,75,7,1
5061,2021,68,9,1
5061,2021,71,7,2
5061,2021,90,8,2
5061,2021,31,9,1
5061,2021,59,6,2
5061,2021,66,7,2
5061,2021,70,6,1
5061,2021,72,9,1
5061,2021,85,9,1
5061,2021,87,6,2
5427,2021,31,9,2
5427,2021,32,11,1
5427,2021,61,6,1
5427,2021,70,10,2
5427,2021,79,9,1
5427,2021,82,9,1
5427,2021,49,9,1
5427,2021,55,11,1
5427,2021,62,7,1
5427,2021,71,9,2
5427,2021,75,12,1
5427,2021,78,15,2
5427,2021,27,15,1
5427,2021,60,8,2
5427,2021,73,10,1
5427,2021,19,6,1
5427,2021,21,6,2
5427,2021,22,7,1
5427,2021,23,7,2
5427,2021,24,8,2
5427,2021,25,8,2
5427,2021,26,12,2
5427,2021,28,9,1
5427,2021,29,10,1
5427,2021,30,10,2
5427,2021,33,8,1
5427,2021,36,6,1
5427,2021,37,6,1
5427,2021,39,9,1
5427,2021,40,10,2
5427,2021,41,7,2
5427,2021,43,7,2
5427,2021,44,10,2
5427,2021,45,7,1
5427,2021,46,10,2
5427,2021,47,6,1
5427,2021,48,7,2
5427,2021,50,10,2
5427,2021,58,6,1
5427,2021,64,13,1
5427,2021,65,14,1
5427,2021,66,9,1
5427,2021,67,9,1
5427,2021,68,8,1
5427,2021,72,11,2
5427,2021,74,15,2
5427,2021,76,9,2
5427,2021,77,10,2
5427,2021,83,8,1
5427,2021,85,6,1
5427,2021,86,12,1
5436,2021,54,19,2
5436,2021,58,17,2
5436,2021,67,21,2
5436,2021,76,15,2
5436,2021,86,9,2
5436,2021,27,15,2
5436,2021,71,23,2
5436,2021,72,15,2
5436,2021,74,21,1
5436,2021,36,7,2
5436,2021,46,8,1
5436,2021,47,11,2
5436,2021,48,17,1
5436,2021,49,9,1
5436,2021,51,17,1
5436,2021,53,16,2
5436,2021,55,12,1
5436,2021,57,24,2
