GEO,AAR,ALDER,ANTALL,KJONN
1103,2020,18,76,1
1103,2020,20,334,1
1103,2020,21,477,2
1103,2020,22,548,2
1103,2020,23,602,1
1103,2020,24,687,1
1103,2020,25,736,2
1103,2020,26,757,1
1103,2020,27,782,1
1103,2020,28,798,2
1103,2020,29,725,2
1103,2020,30,670,1
1103,2020,31,650,1
1103,2020,32,583,1
1103,2020,33,564,1
1103,2020,34,516,2
1103,2020,35,490,1
1103,2020,36,477,2
1103,2020,37,444,1
1103,2020,38,407,2
1103,2020,39,428,2
1103,2020,40,371,2
1103,2020,41,377,2
1103,2020,42,355,1
1103,2020,43,362,1
1103,2020,44,347,2
1103,2020,46,363,1
1103,2020,47,353,2
1103,2020,48,329,1
1103,2020,49,330,1
1103,2020,51,348,1
1103,2020,52,347,1
1103,2020,53,382,1
1103,2020,54,339,2
1103,2020,55,365,2
1103,2020,57,340,2
1103,2020,58,368,2
1103,2020,59,356,1
1103,2020,60,368,1
1103,2020,64,369,1
1103,2020,66,323,2
1103,2020,67,353,2
1103,2020,69,307,1
1103,2020,72,273,2
1103,2020,75,271,2
1103,2020,76,260,1
1103,2020,89,163,1
1103,2020,91,98,1
1103,2020,19,219,1
1103,2020,45,339,2
1103,2020,50,361,2
1103,2020,56,365,1
1103,2020,61,394,1
1103,2020,62,365,1
1103,2020,63,351,2
1103,2020,65,338,2
1103,2020,71,278,1
1103,2020,74,276,1
1103,2020,78,223,2
1103,2020,81,219,1
1103,2020,82,187,2
1103,2020,88,164,1
1103,2020,93,92,2
1103,2020,94,68,2
1103,2020,70,292,1
1103,2020,83,184,2
1103,2020,90,138,2
1103,2020,92,99,1
1103,2020,95,43,2
1103,2020,68,270,1
1103,2020,73,272,1
1103,2020,77,220,2
1103,2020,79,215,1
1103,2020,80,178,2
1103,2020,87,162,2
1103,2020,84,157,2
1103,2020,85,168,1
1103,2020,17,30,2
1103,2020,86,154,2
1103,2020,96,26,2
1103,2020,99,10,1
1103,2020,16,11,2
1103,2020,98,18,2
1103,2020,97,20,2
1103,2020,100,9,2
1514,2020,31,7,2
1514,2020,38,7,2
1514,2020,43,8,1
1514,2020,45,12,2
1514,2020,50,9,1
1514,2020,56,8,2
1514,2020,65,7,1
1514,2020,67,9,1
1514,2020,72,7,2
1514,2020,75,6,1
1514,2020,76,6,1
1514,2020,79,8,2
1514,2020,83,6,1
1514,2020,84,6,1
1514,2020,86,8,2
1514,2020,46,12,2
1514,2020,52,8,1
1514,2020,53,7,1
1514,2020,64,6,1
1514,2020,66,6,1
1514,2020,69,11,2
1514,2020,20,6,1
1514,2020,47,11,2
1514,2020,48,9,1
1514,2020,58,10,1
1514,2020,70,8,1
1514,2020,73,11,1
1514,2020,77,6,1
1514,2020,82,7,1
1514,2020,85,8,1
1514,2020,35,7,1
